IO NO ,UNIT ,STYLE PIC,STYLE ,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,Combo,*0/3,*3/6,*6/9,*12,*24,*2,*3,*4,*5,*18,*6,*6X/7,*6X/7.1,Total,GRANT TOTAL,REMARKS
171,,,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MX01-2025-01009,MEXICO (DIR),PURE WHITE-G011/11-4001 TCX,,,,,,194,229,212,,,,,,635,,
171,,,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,SP01-2025-00724,SINGAPORE,PURE WHITE-G011/11-4001 TCX,,2,2,,,13,20,34,30,,21,15,,137,,
171,,,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,US01-2025-00734(IK-96742),UNITED STATES (WLS),PURE WHITE-G011/11-4001 TCX,,,,,,22,22,22,31,,31,22,,150,,
276,,,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-09-08 00:00:00,MA01-2025-03113,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,,42,57,64,54,126,143,148,144,65,144,122,,1109,,
,,,,,,,,SUB TOTAL,,,162,238,272,201,750,947,968,712,309,713,487,,5759,,
171,,,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,SP01-2025-00724,SINGAPORE,SECRET BLUE-G7HR/19-4111 TCX,,12,12,,,13,20,20,20,,15,10,,122,,
171,,,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),SECRET BLUE-G7HR/19-4111 TCX,,29,35,38,43,35,62,62,61,43,61,59,,528,,
176,,,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-09-08 00:00:00,MA01-2025-02747,NETHERLANDS (CLL),SECRET BLUE-G7HR/19-4111 TCX,,22,31,35,31,45,60,61,59,36,60,54,,494,,
,,,,,,,,SUB TOTAL,,,63,78,73,74,93,142,143,140,79,136,123,,1144,,
IO NO ,UNIT ,STYLE PIC,STYLE ,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,Combo,*0/3,*3/6,*6/9,*12,*24,*2,*3,*4,*5,*18,*6,*6X/7,*6X/7,Total,GRANT TOTAL,REMARKS
